Yıl,Üretilen  Kompost Miktarı [ton],İBB Tesislerinde Geri Dönüştürülen Malzeme Miktarı [ton],Atıktan Türetilmiş Yakıt Miktarı [ton],Çöp Gazından Üretilen Elektrik Enerjisi Miktarları [MWh]
2004,16861,1513,,5938
2009,10450,8454,1087.0,70895
2014,17136,17425,35552.0,336547
2015,18423,7069,63894.0,282225
2016,18336,18815,39602.0,404330
2017,18474,10974,13291.0,389299
2018,14673,9163,21757.0,376765
2019,16503,8832,26417.0,477608
2020,19510,4627,11726.0,455892
2021,11545,4793,11047.0,843748
2022,14971,3856,30952.0,1306116
2023,6620,3073,29870.0,1316731
