trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2022-08-14 00:00:00 +0000 +0000,1,38,17.5518541797611565
2016-09-23 00:00:00 +0000 +0000,2,76,36.8923611111111111
2019-03-31 00:00:00 +0000 +0000,1,18,4.6993006993006993
2019-01-12 00:00:00 +0000 +0000,6,54,28.3298245614035088
2017-11-09 00:00:00 +0000 +0000,1,61,25.3414634146341463
2017-07-23 00:00:00 +0000 +0000,1,35,17.0576131687242798
2021-10-28 00:00:00 +0000 +0000,1,76,35.0801393728222997
2020-04-02 00:00:00 +0000 +0000,4,27,13.1929824561403509
2023-07-31 00:00:00 +0000 +0000,1,63,28.4013986013986014
2019-02-27 00:00:00 +0000 +0000,6,72,33.6713286713286713
2021-12-02 00:00:00 +0000 +0000,1,80,35.2759856630824373
2020-03-01 00:00:00 +0000 +0000,2,47,22.5104166666666667
2020-09-21 00:00:00 +0000 +0000,1,63,32.6717948717948718
2019-04-12 00:00:00 +0000 +0000,1,63,27.7237762237762238
2023-02-05 00:00:00 +0000 +0000,1,58,22.6367137355584082
2020-07-05 00:00:00 +0000 +0000,2,31,14.4097222222222222
2017-01-15 00:00:00 +0000 +0000,4,47,24.7743055555555556
2022-08-31 00:00:00 +0000 +0000,1,60,27.9871716554673183
2019-03-25 00:00:00 +0000 +0000,24,65,49.4615384615384615
2016-12-28 00:00:00 +0000 +0000,4,67,30.2535211267605634
2015-08-14 00:00:00 +0000 +0000,2,69,32.3000000000000000
2022-01-17 00:00:00 +0000 +0000,4,58,26.9583333333333333
2016-09-09 00:00:00 +0000 +0000,1,69,32.0636042402826855
2023-09-09 00:00:00 +0000 +0000,1,65,31.4963715529753266
2022-02-09 00:00:00 +0000 +0000,1,63,30.2048611111111111
2016-12-24 00:00:00 +0000 +0000,9,56,29.5871886120996441
2023-02-27 00:00:00 +0000 +0000,1,76,29.3147410358565737
2017-09-21 00:00:00 +0000 +0000,1,56,27.5081300813008130
2017-03-28 00:00:00 +0000 +0000,1,56,25.7665505226480836
2018-07-11 00:00:00 +0000 +0000,1,53,23.4652777777777778
2016-09-04 00:00:00 +0000 +0000,1,42,20.6491228070175439
2020-05-08 00:00:00 +0000 +0000,1,42,14.4243542435424354
2018-03-01 00:00:00 +0000 +0000,4,62,27.7298245614035088
2015-09-22 00:00:00 +0000 +0000,1,49,20.7291666666666667
2017-06-15 00:00:00 +0000 +0000,1,57,27.3229166666666667
2023-12-02 00:00:00 +0000 +0000,1,72,29.6000000000000000
2018-01-22 00:00:00 +0000 +0000,1,75,33.3671328671328671
2024-03-23 00:00:00 +0000 +0000,1,72,26.2744565217391304
